category_level_1_id,category_level_1,category_level_2_id,category_level_2,brand,product_id,product_name,SKU_id,SKU_name,size,color,other features,RRP
1,Footwear,1,Running,Adidas,ADI-P-0001,Adizero SL,ADI-S-0001,Adizero SL - S - Green - Laptop sleeve,S,Green,Laptop sleeve,60
1,Footwear,1,Running,Adidas,ADI-P-0001,Adizero SL,ADI-S-0002,Adizero SL - 140x200cm - Blue/Copper - Boost midsole,140x200cm,Blue/Copper,Boost midsole,126
1,Footwear,2,Running,Adidas,ADI-P-0002,Ultraboost Light,ADI-S-0003,Ultraboost Light - S - White - Laptop sleeve,S,White,Laptop sleeve,62
2,Apparel,3,Socks,Adidas,ADI-P-0003,Cushioned Crew Socks 3-Pack,ADI-S-0004,Cushioned Crew Socks 3-Pack - S - Blue/Copper - Laptop sleeve,S,Blue/Copper,Laptop sleeve,149
3,Accessories,4,Bags,Adidas,ADI-P-0004,Essentials Backpack,ADI-S-0005,Essentials Backpack - 41 - Navy - Satin finish,41,Navy,Satin finish,126
1,Footwear,2,Running,Adidas,ADI-P-0002,Ultraboost Light,ADI-S-0006,Ultraboost Light - 200ml - Grey - Hyaluronic acid,200ml,Grey,Hyaluronic acid,81
1,Footwear,5,Originals,Adidas,ADI-P-0005,Stan Smith,ADI-S-0007,Stan Smith - XL - Beige - Boost midsole,XL,Beige,Boost midsole,37
1,Footwear,1,Running,Adidas,ADI-P-0001,Adizero SL,ADI-S-0008,Adizero SL - 40 - Beige - Coanda styling,40,Beige,Coanda styling,68
1,Footwear,2,Running,Adidas,ADI-P-0002,Ultraboost Light,ADI-S-0009,Ultraboost Light - 50ml - White/Silver - HEPA H13,50ml,White/Silver,HEPA H13,42
2,Apparel,6,Tops,Adidas,ADI-P-0006,AEROREADY Tee,ADI-S-0010,AEROREADY Tee - M - Blue/Copper - Removable cover,M,Blue/Copper,Removable cover,169
2,Apparel,3,Socks,Adidas,ADI-P-0003,Cushioned Crew Socks 3-Pack,ADI-S-0011,Cushioned Crew Socks 3-Pack - 200g - Beige - Coanda styling,200g,Beige,Coanda styling,55
