category_level_1_id,category_level_1,category_level_2_id,category_level_2,brand,product_id,product_name,SKU_id,SKU_name,size,color,other features,RRP
ADI-FTW,Footwear,ADI-RUN,Running,Adidas,ADI-P-0001,Adizero SL,ADI-S-0001,Adizero SL - S - Green - Laptop sleeve,S,Green,Laptop sleeve,60.18
ADI-FTW,Footwear,ADI-RUN,Running,Adidas,ADI-P-0002,Adizero SL,ADI-S-0002,Adizero SL - 140x200cm - Blue/Copper - Boost midsole,140x200cm,Blue/Copper,Boost midsole,126.29
ADI-FTW,Footwear,ADI-RUN,Running,Adidas,ADI-P-0003,Ultraboost Light,ADI-S-0003,Ultraboost Light - S - White - Laptop sleeve,S,White,Laptop sleeve,61.88
ADI-ACC,Accessories,ADI-SOCK,Socks,Adidas,ADI-P-0004,Cushioned Crew Socks 3-Pack,ADI-S-0004,Cushioned Crew Socks 3-Pack - S - Blue/Copper - Laptop sleeve,S,Blue/Copper,Laptop sleeve,148.88
ADI-ACC,Accessories,ADI-BAG,Bags & Backpacks,Adidas,ADI-P-0005,Essentials Backpack,ADI-S-0005,Essentials Backpack - 41 - Navy - Satin finish,41,Navy,Satin finish,126.07
ADI-FTW,Footwear,ADI-RUN,Running,Adidas,ADI-P-0006,Ultraboost Light,ADI-S-0006,Ultraboost Light - 200ml - Grey - Hyaluronic acid,200ml,Grey,Hyaluronic acid,81.25
ADI-FTW,Footwear,ADI-LIFE,Lifestyle,Adidas,ADI-P-0007,Stan Smith,ADI-S-0007,Stan Smith - XL - Beige - Boost midsole,XL,Beige,Boost midsole,36.69
ADI-FTW,Footwear,ADI-RUN,Running,Adidas,ADI-P-0008,Adizero SL,ADI-S-0008,Adizero SL - 40 - Beige - Coanda styling,40,Beige,Coanda styling,67.61
ADI-FTW,Footwear,ADI-RUN,Running,Adidas,ADI-P-0009,Ultraboost Light,ADI-S-0009,Ultraboost Light - 50ml - White/Silver - HEPA H13,50ml,White/Silver,HEPA H13,42.47
ADI-APP,Apparel,ADI-MEN_TEE,Men T-Shirts,Adidas,ADI-P-0010,AEROREADY Tee,ADI-S-0010,AEROREADY Tee - M - Blue/Copper - Removable cover,M,Blue/Copper,Removable cover,169.29
ADI-ACC,Accessories,ADI-SOCK,Socks,Adidas,ADI-P-0011,Cushioned Crew Socks 3-Pack,ADI-S-0011,Cushioned Crew Socks 3-Pack - 200g - Beige - Coanda styling,200g,Beige,Coanda styling,54.61
ADI-FTW,Footwear,ADI-RUN,Running,Adidas,ADI-P-0012,Adizero SL,ADI-S-0012,Adizero SL - S - Navy - Removable cover,S,Navy,Removable cover,197.34
ADI-FTW,Footwear,ADI-LIFE,Lifestyle,Adidas,ADI-P-0013,Samba OG,ADI-S-0013,Samba OG - 375g - White - Hyaluronic acid,375g,White,Hyaluronic acid,70.04
ADI-APP,Apparel,ADI-TRAIN,Training,Adidas,ADI-P-0014,Tiro 23 Club Pants,ADI-S-0014,Tiro 23 Club Pants - L - Beige - 7-zone support,L,Beige,7-zone support,57.71
ADI-FTW,Footwear,ADI-LIFE,Lifestyle,Adidas,ADI-P-0015,Forum Low,ADI-S-0015,Forum Low - 50ml - White - Coanda styling,50ml,White,Coanda styling,134.3
ADI-ACC,Accessories,ADI-BAG,Bags & Backpacks,Adidas,ADI-P-0016,Essentials Backpack,ADI-S-0016,Essentials Backpack - 50ml - Navy - Ortholite insole,50ml,Navy,Ortholite insole,103.21
ADI-FTW,Footwear,ADI-LIFE,Lifestyle,Adidas,ADI-P-0017,Forum Low,ADI-S-0017,Forum Low - 200g - Blue/Copper - Laptop sleeve,200g,Blue/Copper,Laptop sleeve,143.23
ADI-FTW,Footwear,ADI-RUN,Running,Adidas,ADI-P-0018,Ultraboost Light,ADI-S-0018,Ultraboost Light - XL - Black - 7-zone support,XL,Black,7-zone support,92.21
ADI-FTW,Footwear,ADI-RUN,Running,Adidas,ADI-P-0019,Adizero SL,ADI-S-0019,Adizero SL - XL - N/A - 7-zone support,XL,N/A,7-zone support,58.27
ADI-APP,Apparel,ADI-WOM_TEE,Women T-Shirts,Adidas,ADI-P-0020,Future Icons Tee,ADI-S-0020,Future Icons Tee - 41 - White/Silver - Ortholite insole,41,White/Silver,Ortholite insole,67.68
ADI-FTW,Footwear,ADI-LIFE,Lifestyle,Adidas,ADI-P-0021,Samba OG,ADI-S-0021,Samba OG - 50ml - Blue/Copper - HEPA H13,50ml,Blue/Copper,HEPA H13,67.29
ADI-ACC,Accessories,ADI-SOCK,Socks,Adidas,ADI-P-0022,Cushioned Crew Socks 3-Pack,ADI-S-0022,Cushioned Crew Socks 3-Pack - 41 - N/A - Hyaluronic acid,41,N/A,Hyaluronic acid,85.16
ADI-FTW,Footwear,ADI-LIFE,Lifestyle,Adidas,ADI-P-0023,Stan Smith,ADI-S-0023,Stan Smith - 43 - White/Silver - Boost midsole,43,White/Silver,Boost midsole,156.04
ADI-FTW,Footwear,ADI-RUN,Running,Adidas,ADI-P-0024,Adizero SL,ADI-S-0024,Adizero SL - L - Grey - Instant coffee,L,Grey,Instant coffee,95.99
ADI-FTW,Footwear,ADI-RUN,Running,Adidas,ADI-P-0025,Adizero SL,ADI-S-0025,Adizero SL - 41 - Nickel - Coanda styling,41,Nickel,Coanda styling,199.3
ADI-ACC,Accessories,ADI-BAG,Bags & Backpacks,Adidas,ADI-P-0026,Essentials Backpack,ADI-S-0026,Essentials Backpack - One Size - Blue/Copper - AEROREADY,One Size,Blue/Copper,AEROREADY,142.45
ADI-FTW,Footwear,ADI-RUN,Running,Adidas,ADI-P-0027,Adizero SL,ADI-S-0027,Adizero SL - 140x200cm - Blue/Copper - Removable cover,140x200cm,Blue/Copper,Removable cover,158.35
ADI-APP,Apparel,ADI-TRAIN,Training,Adidas,ADI-P-0028,Tiro 23 Club Pants,ADI-S-0028,Tiro 23 Club Pants - M - Green - Hyaluronic acid,M,Green,Hyaluronic acid,48.47
